,No,Place,Title,Type,Price,Programme,Advert,Review,Notes,DateTime
2882,2883,V,VAUXHALL 86,GS,1s,1: RICHTER OV (FULL); SG INCLEDON; HAYDN SYM; SG MARTYR~; HANDEL OV and HANDEL MARCH (DEAD) [?] from HANDEL o ^SAUL^; SG WRIGHTEN~; CN ORG HOOK; SG BARNETT~; GL 'HARK_THE'; CT 'TO_THE_OLD'.  2: SG LEARY~; CN VN PIELTAIN-dp; SG MARTYR~; o <FINALE> (NEW).,MC,,,1786-08-04 19:30:00
2883,2884,V,VAUXHALL 86,GS,1s,1: BACH SYM (FULL); SG INCLEDON; HANDEL OV from HANDEL o ^SEMELE^; SG LEARY~; HAYDN SYM; SG WRIGHTEN~; HOOK OV (FULL) from HOOK o ^the_lady_OF_THE_MANOR^ <THE_LORD_OF...>; SG MARTYR~; CN ORG HOOK; SG BARNETT~; GL 'WHEN_SAPPHO'; CT 'WHO_WAS_IT'.  2: SG INCLEDON; CN OB PARKE; SG LEARY~; o <FINALE> (NEW).,DUR,,,1786-08-05 19:30:00
2884,2885,V,VAUXHALL 86,GS,1s,1: BACH OV (FULL); SG INCLEDON; ARNE-ta OV from ARNE-ta o ^ELIZA^; SG LEARY~; STAMITZ SYM; SG WRIGHTEN~; HAYDN SYM (GRAND); SG MARTYR~; CN ORG HOOK; SG BARNETT~; GL 'THE_REVIELLEA'; CT 'HARK_THE_BONNY'.  2: SG INCLEDON; CN OB PARKE; SG LEARY~; hook o ^THE_TRIUMPH_OF_BEAUTY^ <FINALE>.,MC,,,1786-08-07 19:30:00
2885,2886,V,VAUXHALL 86,GS,1s,1: STAMITZ SYM (FULL); SG INCLEDON; BOYCE SYM; SG WRIGHTEN~; ABEL OV from o ^LOVE_IN_A_VILLAGE^; SG LEARY~; HAYDN SYM; SG MARTYR~; CN ORG HOOK; SG BARNETT~; GL 'THE_REVELLE'; CT 'HARK_THE'.  2: SG WRIGHTEN~; CN VN PIELTAIN-dp; SG INCLEDON; o <FINALE> (NEW).,DUR,,,1786-08-08 19:30:00
2886,2887,V,VAUXHALL 86,GS,1s,1: FISHER SYM (FULL); SG INCLEDON; HANDEL OV from HANDEL o ^HERCULES^; SG MARTYR~; SHAW SYM; SG WRIGHTEN~; HAYDN SYM; SG LEARY~; CN ORG HOOK; SG BARNETT~; GL 'THE_REVIELLEA'; CT 'HARK_THE_BONNY'.  2: SG MARTYR~; CN OB PARKE; SG WRIGHTEN~; o <FINALE> (NEW).,MC,,,1786-08-09 19:30:00
2887,2888,V,VAUXHALL 86,GS,1s,1: HOOK OV (FULL) from HOOK o ^THE_ASCENSION^; SG INCLEDON; STAMITZ SYM; SG LEARY~; HAYDN OV; SG MARTYR~; CN ORG HOOK; SG WRIGHTEN~; CN BN PARKINSON; SG BARNETT~; GL 'WHEN_SAPPHO'; CT 'WHO_WAS_IT'.  2: SG LEARY~; CN VN PIELTAIN-dp; SG MARTYR~; o <FINALE> (GRAND).,DUR,,,1786-08-10 19:30:00
2888,2889,V,VAUXHALL 86,GS,1s,1: HANDEL OV from HANDEL o ^OCCASIONAL_ORATORIO^; SG INCLEDON; BACH SYM; SG LEARY~; JOMMELLI OV (WITH CHACONNE); SG WRIGHTEN~; HAYDN SYM (GRAND); SG MARTYR~; CN ORG HOOK; SG BARNETT~; GL 'WHEN_SAPHO'; CT 'WHO_WAS_IT'.  2: SG INCLEDON; CN OB PARKE; SG LEARY~; o <FINALE> (GRAND).,MC,,,1786-08-11 19:30:00
2889,2890,FMH,LACY R&M 86,RM,5s,[includes:] billington OV from billington o ^ELOISA_to_abelard^; billington DT PRING-1 PRING-2 from billington o ^CHILDREN_IN_THE_WOOD^; SG GOAKMAN~; billington SG MAHON~2 'MARIA'S_EVENING_SERVICE_TO_THE_VIRGIN'; SG GOAKMAN~; billington SG MAHON~2 'AH!_CEASE' from billington o ^CHILDREN_IN_THE_WOOD^; SN HP DENIS~; SG MAHON~2 (ITALIAN). BILLINGTON o ^POPE'S_ELEGY^ (TO_THE_MEMORY_OF_AN_UNFORTUNATE_LADY): V PRING-1 PRING-2 BOYCE-w2 MAHON~2.,MC,,Readings and Musick. From 27 July.,
2890,2891,V,VAUXHALL 86,GS,1s,1: HANDEL o ^CORONATION_ANTHEM^; SG INCLEDON; DITTERSdorf SYM; SG WRIGHTEN~; HAYDN SYM; SG MARTYR~; HOOK CN TPT SARJANT; SG LEARY~; CN ORG hook (WITH 'GOD_SAVE_THE_KING'); SG BARNETT~; GL 'THE_REVELLEE'; CT 'CHRIST_CHURCH'.  2: SG WRIGHTEN~; CN VN PIELTAIN-dp; [?hook] SG INCLEDON (NEW); o <FINALE> (GRAND).,DUR,,In honour of the Prince's Birth Day. [One song:] occasional; by Hook.,1786-08-12 19:30:00
2891,2892,V,VAUXHALL 86,GS,1s,1: RUSH OV from RUSH o ^THE_ROYAL_SHEPHERD^; SG INCLEDON; HANDEL OV from HANDEL o ^SAMSON^; SG WRIGHTEN~; VANHAL SYM; SG MARTYR~; HAYDN SYM; SG LEARY~; CN ORG HOOK; SG BARNETT~; GL 'THE_REVEILLEE'; CT 'CHRIST_CHURCH'.  2: SG WRIGHTEN~; CN VN PIELTAIN-dp; SG INCLEDON; o <FINALE> (GRAND).,MC,,,1786-08-14 19:30:00
2892,2893,V,VAUXHALL 86,GS,1s,[1:] BACH FP; SG INCLEDON; STAMITZ SYM; HANDEL OV from HANDEL o ^BERENICE^; SG WRIGHTEN~; HAYDN SYM; SG LEARY~; CN ORG HOOK; SG BARNETT~; GL 'WHEN_SAPPHO'; CT 'WHO_WAS_IT'.  2: SG MARTYR~; CN OB parke <HOOK> [sic]; SG WRIGHTEN~; o <FINALE> (GRAND).,DUR,,,1786-08-15 19:30:00
2893,2894,V,VAUXHALL 86,GS,1s,1: BACH OV (FULL); SG INCLEDON; HANDEL OV from HANDEL o ^ARIANNA_IN_CRETA^ <ARIADNE>; SG LEARY~; HAYDN SYM; SG MARTYR~; CN BN PARKINSON; SG WRIGHTEN~; CN ORG hook (WITH 'GOD_SAVE_THE_KING'); SG BARNETT~; GL 'THE_REVEILLEE'; CT 'CHRIST_CHURCH'.  2: SG LEARY~; CN VN PIELTAIN-dp; SG INCLEDON 'LONG_LIVE'; o ^the_POWER_OF_FRIENDSHIP^ <FINALE>.,MC,,,1786-08-16 19:30:00
2894,2895,V,VAUXHALL 86,GS,1s,1: HANDEL CH (FULL) from HANDEL o ^SAMSON^; SG INCLEDON; STAMITZ SYM; SG LEARY~; ABEL SYM; SG WRIGHTEN~; HAYDN SYM; SG MARTYR~; CN ORG HOOK; SG BARNETT~; GL 'WHEN_SAPPHO'; CT 'MULBERRY_SHADE'.  2: SG INCLEDON; CN OB PARKE; SG LEARY~; o <FINALE> (NEW).,DUR,,,1786-08-17 19:30:00
2895,2896,V,VAUXHALL 86,GS,1s,1: BACH OV (FULL); SG INCLEDON; BOYCE OV from BOYCE o ^SOLOMON^; SG WRIGHTEN~; HAYDN SYM; SG MARTYR~; HOOK OV from HOOK o ^TOO_CIVIL_BY_HALF^; SG LEARY~; CN ORG; SG BARNETT~; GL 'THE_REVEILLEE'; CT 'CHRIST_CHURCH'.  2: SG WRIGHTEN~; CN VN PIELTAIN-dp; SG INCLEDON; o <FINALE> (GRAND).,MC,,,1786-08-18 19:30:00
2896,2897,V,VAUXHALL 86,GS,1s,1: BACH OV (FULL); SG INCLEDON; HANDEL OV from HANDEL o ^ESTHER^; SG MARTYR~; HAYDN SYM; SG WRIGHTEN~; 'SI_LARCO' and HANDEL MARCH from HANDEL o ^SCIPIONE^ <SCIPIO>; SG LEARY~; CN ORG HOOK; SG BARNETT~; GL 'WHEN_SAPPHO'; CT 'WHO_WAS_IT'.  2: SG MARTYR~; CN OB PARKE; SG WRIGHTEN~; o <FINALE> (GRAND).,DUR,,,1786-08-19 19:30:00
2897,2898,V,VAUXHALL 86,GS,1s,1: FISHER OV (FULL); SG INCLEDON; STAMITZ SYM; SG MARTYR~; HANDEL OV from HANDEL o ^FARAMONDO^ <PHARAMOND>; SG WRIGHTEN~; HAYDN SYM; SG LEARY~; CN ORG HOOK; SG BARNETT~; GL 'WHEN_SAPPHO'; CT 'THE_MULBERRY'.  2: SG MARTYR~; CN OB PARKE; SG WRIGHTEN~; o <FINALE> (GRAND).,MC,,,1786-08-21 19:30:00
2898,2899,V,VAUXHALL 86,GS,1s,1: BARTHELEMON OV (FULL); SG INCLEDON; BACH SYM; SG LEARY~; sammartini cngr ? <MACHINI CN HN HN>; SG MARTYR~; HAYDN OV; SG WRIGHTEN~; CN ORG HOOK; SG BARNETT~; GL 'THE_REVELLEE'; CT 'CHRIST_CHURCH'.  2: SG LEARY~; CN VN PIELTAIN-dp; SG MARTYR~; o <FINALE> (GRAND).,DUR,,,1786-08-22 19:30:00
2899,2900,V,VAUXHALL 86,GS,1s,1: RICHTER OV (FULL); SG INCLEDON; ARNE-ta OV from ARNE-ta o ^ROSAMOND^; SG LEARY~; HAYDN SYM; SG WRIGHTEN~; HOOK OV from HOOK o ^APOLLO_AND_DAPHNE^; SG MARTYR~; CN ORG HOOK; SG BARNETT~; GL 'WHEN_SAPPHO'; CT 'THE_MULBERRY'.  2: SG INCLEDON; CN OB PARKE; SG LEARY~; o <FINALE> (GRAND).,MC,,,1786-08-23 19:30:00
2900,2901,V,VAUXHALL 86,GS,1s,1: KELLY-tae SYM (FULL); SG INCLEDON; ARNE-ta OV from ARNE-ta o ^ALFRED^; SG WRIGHTEN~; HAYDN SYM; SG MARTYR~; GUGLIELMI OV (FULL); SG LEARY~; CN ORG HOOK; SG BARNETT~; GL 'THE_REVELLEE'; CT 'CHRIST_CHURCH'.  2: SG WRIGHTEN~; CN VN PIELTAIN-dp; SG INCLEDON; o <FINALE> (GRAND).,DUR,,,1786-08-24 19:30:00
2901,2902,V,VAUXHALL 86,GS,1s,1: RICHTER OV (FULL); SG INCLEDON; HANDEL OV from HANDEL o ^SCIPIONE^; SG MARTYR~; STAMITZ SYM; SG WRIGHTEN~; HAYDN SYM; SG LEARY~; CN ORG HOOK; SG BARNETT~; GL 'WHEN_SAPPHO'; CT 'THE_MULBERRY'.  2: SG MARTYR~; CN OB PARKE; SG WRIGHTEN~; o <FINALE> (GRAND).,MC,,,1786-08-25 19:30:00
2902,2903,V,VAUXHALL 86,GS,1s,1: HANDEL OV from HANDEL o ^OCCASIONAL_ORATORIO^; SG INCLEDON; STAMITZ SYM; SG LEARY~; HAYDN SYM; SG MARTYR~; CN BN PARKINSON; SG WRIGHTEN~; CN ORG HOOK; SG BARNETT~; GL 'THE_REVELLEE'; CT 'CHRIST_CHURCH'.  2: SG LEARY~; CN VN PIELTAIN-dp; SG MARTYR~; o <FINALE> (GRAND).,DUR,,,1786-08-26 19:30:00
2903,2904,V,VAUXHALL 86,GS,1s,1: BACH OV (FULL); SG INCLEDON; STAMITZ SYM; SG LEARY~; HANDEL OV and HANDEL MARCH from HANDEL o ^JUDAS_MACCABAEUS^; SG MARTYR~; HAYDN SYM; SG WRIGHTEN~; CN ORG HOOK; SG BARNETT~; GL 'THE_REVEILLEE'; CT 'CHRIST_CHURCH'.  2: SG MARTYR~; CN VN PIELTAIN-dp; SG MARTYR~ [sic]; o <FINALE> (GRAND).,MC,,,1786-08-28 19:30:00
2904,2905,V,VAUXHALL 86,GS,1s,1: ARNE-ta OV from ARNE-ta o ^ARTAXERXES^; SG INCLEDON 'THE_GALLANT'; STAMITZ SYM; SG LEARY~ 'HOW_DREAR'; RICHTER SYM HN; SG BARNETT~ 'TO_SING'; HAYDN SYM (GRAND); SG MARTYR~ (MARTIAL); CN ORG HOOK (WITH 'GOD_SAVE_THE_KING'); SG WRIGHTEN~ 'TEAZING_ME'; GL 'THE_REVEILLEE'; CT 'CHRIST_CHURCH'.  2: SG INCLEDON 'MA_CHERE'; CN OB PARKE; SG LEARY~ 'ON_TWEED'S'; hook o ^THE_TRIUMPH_OF_BEAUTY^ <FINALE>.,MC,,Last night.,1786-08-29 19:30:00
2905,2906,FMH,LACY R&M 86,RM,5s,DIR BILLINGTON <DIR BAND>. [includes:] OV; BILLINGTON DT 2v PRING-1 PRING-2 'NO_LOVE'; HOOK SG LEARY~; billington SG MAHON~2 'PERHAPS_IN' from billington o ^GRAY'S_ELEGY'; GEMINIANI CNgr VN ASHLEY-gc; HOOK SG LEARY~; JACKSON-w SG MAHON~2 'TWAS_WHEN'; HOOK SG INCLEDON 'MACHERE'; SN HP DENIS~; SG GENTLEMAN (IMITATION); BACH dt 2v PRING-1 PRING-2 'SWEET_IS'; RELFE SG MAHON~2 'MARY'S_DREAM' <RALPH>.,MC; MC 21 Aug,,Readings and Musick. [From 26 Aug.],
2906,2907,FMH,LACY R&M 86,RM,5s,DIR BILLINGTON <DIR BAND>. [includes:] OV from billington o ^GRAY'S_ELEGY^; BILLINGTON DT PRING-1 PRING-2 from BILLINGTON o ^ELOISA_to_abelard^; HOOK SG LEARY~; billington SG MAHON~2 'MARIA'S_EVENING_SERVICE'; HOOK SG INCLEDON 'MA_CHERE'; SG CAREY (AFTER RUBINELLI); HANDEL SG MAHON~2 'LET_ME'; BACH dt 2v PRING-1 PRING-2 'SWEET_IS'; HOOK SG LEARY~; SG LEARY~; GIORDANI SG MAHON~2 'NON_DUBITARE'.,MC,,Readings and Musick.,
2907,2908,COC,MUSICAL CHILD 86,MI,1s,MUSICAL_CHILD; PF BROTHER_OF_MUSICAL_CHILD.,MC,,From 1300 to 1800; for a few days. Musical child aged 4; performed before King of France [etc]. Brother aged 6.,1786-11-06 13:00:00
2908,2909,P,PANTHEON 86-87 [1ST],CS,3s 6d,LEAD BARTHELEMON (DIR ORCH); V ARROWSMITH SALE KNYVETT BILLINGTON CHAPMAN SALMON LINTON-1 BARTHELEMON~m. HAYDN SG BARTHELEMON~m; ELEGY (ON_THE_DEATH_OF_THE_PRINCESS_AMELIA); GL 'FLORA_GAVE'; CT 'MR_SPEAKER' ARROWSMITH + ?,MC,MC 24 Nov 1786,The winter Ranelagh.,1786-11-21 21:00:00
2909,2910,P,ASHLEY-j 86,OB,,[ASHLEY-j.] PURCELL o ^ODE_FOR_ST_CECILIA'S_DAY^; BOYCE o ^ODE_FOR_ST_CECILIA'S_DAY^; HANDEL o ^ODE_FOR_ST_CECILIA'S_DAY^.,MC 5 Sept 1786,,[No further mention found.],
2910,2911,FMH,LACY R&M 86-87 1ST,RM,For six: 1gn,DIR BILLINGTON <DIR ORCH>. [includes:] ARNE-ta OV from ARNE-ta o ^ARTAXERXES^; BILLINGTON DT BOYS_OF_STP from BILLINGTON o ^ELOISA_to_abelard^; HAYDN sg GEORGE~ 'YOUNG_HAL' <BALLAD>; HOOK SG LEARY~ 'NOON' + PF BILLINGTON; HAYDN sg SESTINI~ 'WILLIAM' <BALLAD>. [EXTRACTS FROM HANDEL o ^ALEXANDER'S_FEAST^]: V GEORGE~. SG LEARY~ 'SHANNON'S'; SACCHINI SG GEORGE~ 'LON_REGINA'; HANDEL SG CAREY 'THOU_SHALT'; HOOK SG LEARY~ 'CORYDON'S';  GIORDANI SG SESTINI~ 'CARO_MIO'; FP; HAYDN OV (GRAND). [earlier programme differs.],MC; MC 22 Sept 1786; MC 18 Nov; MC 17 Nov,MC 24 Nov,Readings and Musick. From 18 Nov. [MC 22 Sept: list of composers.],
2911,2912,P,PANTHEON 86-87 [2ND],CS,3s 6d,DIR BARTHELEMON <DIR ORCH>; V BILLINGTON CHAPMAN SALMON.  1: VAN_MALDERE OV; SG ARROWSMITH; AVISON CNGR; HAYDN SG BARTHELEMON~m (NEW BRAVURA); CNte HN HN LEANDER-lh LEANDER-vt; ARNE-ta GL 'SWEET_MUSE'; PURCELL CT 'THE_BONNY'.  2: OV (NEW); SG SALE; CN vn BARTHELEMON (NEW; AS LAST TUESDAY); SG ARROWSMITH; SG BARTHELEMON~m; MORNINGTON GL 'HERE_IN'; CT 'MR_SPEAKER' (FAV); BACH FP.,MC; MC 27 Nov 1786,,,1786-11-28 21:00:00
2912,2913,FMH,LACY R&M 86-87 2ND,RM,5s; 2s 6d,DIR BILLINGTON <DIR ORCH>. [includes:] HANDEL CNgr <OB CN>; billington DT BOYS_OF_STP from billington o ^CHILDREN_IN_THE_WOOD^; billington SG GEORGE~ 'MARIA'S_EVENING_SERVICE' + OB HUTTLEY; HOOK SG LEARY~ 'MOON' + PF BILLINGTON; GIORDANI SG SESTINI~ 'HEART_BEATING'; ARNOLD SG GEORGE~ 'JE_NE_SCAI' (FAV); SG LEARY~ 'ALLEN_BROOKE'; BERTONI SG SESTINI~ 'NON_TEMER'; GIORDANI SG GEORGE~ 'DIMI_AMOR'; SG LEARY~; GIORDANI SG [by ?] 'MIS_COR'. FP: HAYDN OV (GRAND).,MC,,Readings and Musick.,
2913,2914,P,PANTHEON 86-87 [3RD],CS,3s 6d,DIR BARTHELEMON <DIR ORCH>; V BILLINGTON CHAPMAN SALMON LINTON-1.  1: BARTHELEMON OV (AND CHACONNE); SG ARROWSMITH; HANDEL CNgr <CN OB> 2ND; BARTHELEMON~m SG BARTHELEMON~m; CNte HN HN LEANDER-lh LEANDER-vt; ?PURCELL GL 'THE_LOVE'; PURCELL CT 'SOLDIER'.  2: SARMATA OV; SG SALE; CN vn BARTHELEMON (ARMONIET [?]); SG ARROWSMITH; SG BARTHELEMON~m 'UNDER_SWEET'; GL 'HARK_THE'; CT 'THEY_SAY'; ABEL FP.,MC; MC 4 Dec 1786,,,1786-12-05 21:00:00
2914,2915,FMH,LACY R&M 86-87 3RD,RM,5s; 2s 6d,DIR BILLINGTON <DIR ORCH>. [includes:] HANDEL CNgr <OB CN> 2ND; [EXTRACTS FROM] billington o ^GRAY'S_ELEGY^ BOYS_OF_STP; HAYES-p SG GEORGE~ 'THE_HIGHLAND'; FEDERICI SG LEARY~ 'OR_CHE'; PICCINNI SG SESTINI~ (FAV) from PICCINNI o ^LA_BUONA_FIGLIUOLA^; ARNOLD SG GEORGE~ (NEW); HOOK SG INCLEDON 'MA_CHERE' (FAV); HOOK SG LEARY~ 'THE_WEDDING'; GIORDANI SG SESTINI~ 'FROM_BRANCH'; OV (GRAND).  SACCHINI SG GEORGE~ 'SON_REGINA'; SG INCLEDON 'THE_BANKS' (NEW; NEVER IN PUBLIC); sg LEARY~ 'QUAND_LE' <CHANSON>; SG SESTINI~. FP: HAYDN OV (GRAND).,MC,,Readings and Musick.,
2915,2916,P,PANTHEON 86-87 [4TH],CS,3s 6d,DIR BARTHELEMON <DIR ORCH>; V SALE BILLINGTON CHAPMAN SALMON LINTON-1.  1: HAYDN OV; SG ARROWSMITH; CORELLI CNgr 4TH; SG BARTHELEMON~m; CNte HN HN LEANDER-lh LEANDER-vt; GL 'COME_LIVE'; CT 'MR_SPEAKER'.  2: SARMATA OV; SG ARROWSMITH; CN VN BARTHELEMON; SG BARTHELEMON~m; GL 'YOU_GAVE'; CT 'THE_ECHO'; ABEL FP.,MC; MC 11 Dec 1786,,,1786-12-12 21:00:00
2916,2917,HAB,CRAMER-w 86,CB,10s 6d,1: HAYDN OV (GRAND); RAIMONDI TR VN VA VC CRAMER-w RAIMONDI CERVETTO-j; SG RUBINELLI; SN PF CLEMENTI; SG BILLINGTON~; CN VN CRAMER-w. 2: RAIMONDI CNTE FL OB BN VN VA VC DECAMP PARKE PARKINSON CRAMER-w RAIMONDI CERVETTO-j; SL VC CERVETTO-j; SG BILLINGTON~; CN OB PARKE; GEMINIANI CNgr OP.3 NO.1; SG RUBINELLI 'VERDI_PRATI'; CLEMENTI SYM. SG BILLINGTON~ 'FAREWELL_YE'; SACCHINI SG BILLINGTON~ 'LIETA_QUEST'.,MP,MP 14 Dec 1786,At the particular desire of his musical friends and patrons in the City.,1786-12-13 20:00:00
2917,2918,FMH,LACY R&M 86-87 4TH,RM,5s; 2s 6d,DIR BILLINGTON. [includes:] HANDEL CNGR <GRAND CN>; billington SG GEORGE~ 'MARIA'S_EVENING_SERVICE' + OB HUTTLEY; billington SG LEARY~ 'THE_JEALOUS' from billington o ^ELOISA_to_abelard^; GIORDANI SG SESTINI~ 'HEART-BEATING'; ARNOLD SG GEORGE~ 'JE_NE_SCAI' (FAV); HOOK SG LEARY~ 'THE_WEDDING'; HANDEL SG MAHON~2 'SWEET_BIRD' + VN MAHON; GIORDANI SG SESTINI~ 'FROM_BRANCH'; HAYDN OV; HAYDN sg SESTINI~ 'WILLIAM' <BALLAD> + PF BILLINGTON;  HANDEL SG CAREY 'THOU_SHALT'; HOOK SG LEARY~ from HOOK o ^THE_fair_PERUVIAN^ (FAV; [AS SUNG] BY BILLINGTON~); SACCHINI SG GEORGE~ 'INVENTURATA'; SACCHINI SG MAHON~2 'PIETA_QUESTO' + CL MAHON; dt 2v BOYS_OF_STP 'TIME_HAS'. FP: OV (GRAND).,MC,,Readings and Musick.,
2918,2919,P,PANTHEON 86-87 [5TH],CS,3s 6d,DIR BARTHELEMON <DIR ORCH>; V SALE BILLINGTON CHAPMAN SALMON LINTON-1.  1: VAN_MALDERE OV; SG ARROWSMITH; CORELLI CNgr 11TH; SG BARTHELEMON~m; CNte HN HN LEANDER-lh LEANDER-vt; GL 'A_GENEROUS'; ARNE-ta CT 'WHICH_IS'.  2: VANHAL OV; SG ARROWSMITH; SG BARTHELEMON~m; CN VN BARTHELEMON; COOKE GL 'IF_THE_PRIZE'; PURCELL CT 'FIE'; SARMATA OV.,MC; MC 18 Dec 1786,,,1786-12-19 21:00:00
2919,2920,FMH,YOUNG LADY 86,CB,10s 6d,DIR HINDMARSH; V YOUNG_LADY (SECOND APPEARANCE IN PUBLIC).  1: HANDEL OV; SG YOUNG_LADY; GL 4V DANBY DANBY-c <MESSRS_DANBY>; SG SHIELD~ <SHIELDS>; SN HPD WEBBE-s2 <JUN>; GL 3V DANBY GUICHARD + ?; STAMITZ SYM.  2: HANDEL CNGR <GRAND CN>; SG SHIELD~; CN VN HINDMARSH; SG PAGE; DT YOUNG_LADY SHIELD~; SG YOUNG_LADY; HOOK OV.,MP; MP 6 Dec 1786; MP 12 Dec,,From 12 Dec. First appearance was at widow's benefit at Freemasons Hall [2 June 1785].,1786-12-20 19:00:00
2920,2921,FMH,LACY R&M 86-87 5TH,RM,5s; 2s 6d,DIR BILLINGTON <DIR ORCH>. [includes:] HANDEL CNGR <GRAND CN> 5TH; [EXTRACTS FROM] billington o ^GRAY'S_ELEGY^ BOYS_OF_STP; FEDERICI SG LEARY~ 'OR_CHE' + OB HUTTLEY; GIORDANI SG SESTINI~ 'NON_DUBITARE'; HOOK SG LEARY~ 'THUS_ON' from HOOK o ^THE_fair_PERUVIAN^ + PF BILLINGTON; HANDEL SG MAHON~2 'O_CLAP' + VN MAHON; BILLINGTON SG LEARY~ 'HER_LIGHTEST' (SET FOR THE OCCASION); CORELLI CNgr 8TH; SG CAREY (AFTER RUBINELLI); SG MAHON~2 'SWEET_ECCHO' + CL MAHON; GIORDANI SG SESTINI~ 'IF_I'. FP: OV (GRAND). [replaced handel o ^MESSIAH^ <SACRED ORATORIO> (PART RECITED).],MC; MC 18 Dec 1786,,Readings and Musick.,
2921,2922,P,PANTHEON 86-87 [6TH],CS,3s 6d,DIR BARTHELEMON <DIR ORCH>; V BOYCE-w2 BILLINGTON CHAPMAN SALMON LINTON-1.  1: ?samMARTINI OV <MARTINI>; SG ARROWSMITH; SG BARTHELEMON~m; CORELLI CNgr 8TH; JACKSON-w DT 2v 'TIME_HAS'; DT HN HN LEANDER-lh LEANDER-vt [or cnte?]; BREWER GL 'TURN_AMARILIS' <THOMAS_BREWER> (1667); ARNE-ta CT 'WHICH_IS'.  2: HAYDN OV (FAV); SG ARROWSMITH; SACCHINI sg BARTHELEMON~m 'CARE_LUCI' <CANTABILE>; CN VN BARTHELEMON; PAXTON GL 'THE_ANSWER_TO_TURN_AMARILLIS'; CT 'THE_ECHO'. FP: HANDEL o ^CORONATION_ANTHEM^.,MC; MC 25 Dec 1786,,,1786-12-26 21:00:00
2922,2923,P,PANTHEON 86-87 [7TH],CS,3s 6d,DIR BARTHELEMON <DIR ORCH>; V BOYCE-w2 BILLINGTON SALMON <SOLMON> LINTON-1.  1: GOSSEC OV <GROSSEE>; SG ARROWSMITH; CORELLI cngr 4TH (WITH TPT TPT DRS); HANDEL SG BARTHELEMON~m 'SWEET_BIRD'; ARNE-ta GL 'SWEET_MUSE'; CT 'MR_SPEAKER'.  2: HAYDN OV 'LA_CHASSE'; SG ARROWSMITH; CN VN BARTHELEMON; SACCHINI SG BARTHELEMON~m 'QUEL_CARO'; PAXTON GL 'ANSWER_TO_TURN_AMARILLIS'; CT 'THE_ECHO'.,MC; MC 1 Jan,,,1787-01-02 21:00:00
2923,2924,P,PANTHEON 86-87 [8TH],CS,3s 6d,DIR BARTHELEMON <DIR ORCH>; V BOYCE-w2 BILLINGTON CHAPMAN SALMON LINTON-1.  1: STAMITZ OV; SG ARROWSMITH; GEMINIANI CNgr; SG BARTHELEMON~m; HAYES-w GL 'MELTING_AIRS' <DR>; WEBBE CT 'TO_THE_OLD'.  2: VAN_MALDERE OV; SG ARROWSMITH; CN VN BARTHELEMON; SG BARTHELEMON~m; WEBBE GL 'A_GENEROUS'; PURCELL CT 'THE_POPE'. SG BARTHELEMON~m 'MARY'; sg ARROWSMITH 'THE_CHARMS'; sg ARROWSMITH 'THE_FAITHFUL' (TWO NEW BALLADS).,MC; MC 8 Jan,MC 11 Jan,,1787-01-09 21:00:00
2924,2925,P,PANTHEON 86-87 [9TH],CS,3s 6d,DIR BARTHELEMON <DIR ORCH>; V BOYCE-w2 BILLINGTON CHAPMAN SALMON LINTON-1.  1: STAMITZ OV; SG ARROWSMITH; GEMINIANI CNgr; SG BARTHELEMON~m; WEBBE GL 'YOU_GAVE'; PURCELL CT.  2: HAYDN OV; SG ARROWSMITH; CNte HN HN LEANDER-lh LEANDER-vt; SG BARTHELEMON~m; CN VN BARTHELEMON (NEW); COOKE GL 'HARK_THE'; CT 'THE_ECHO'; ABEL FP.,MC,,,1787-01-16 21:00:00
2925,2926,FMH,LACY R&M 86-87 6TH,RM,5s; 3s; 2s,DIR BILLINGTON <DIR BAND>. GARRICK'S ODE_TO_SHAKESPEARE (ARNE-ta o ^ODE_TO_SHAKESPEARE^) [items listed]: V MAHON~2 PAGE SALE GEORGE~ LEARY~ BOYS_OF_STP. [also:] SG GEORGE~ 'WHERE_THE' from o ^THE_TEMPEST^; SG LEARY~ 'SWEET_WILLY'; GIORDANI SG SESTINI~ 'FROM_BRANCH'; SG LEARY~ 'ROSLIN_CASTLE'; CN CL MAHON; SG MAHON~2 'SWEET_BIRD'; ANFOSSI SG GEORGE~ (ITALIAN); GIORDANI SG SESTINI~ 'IF_I'; BILLINGTON QNT 5V 'THE_CLOUD'.,MC,MC 22 Jan,Last subscription night.,
2926,2927,P,PANTHEON 86-87 [10TH],CS,3s 6d,DIR BARTHELEMON <DIR ORCH>; V BOYCE-w2 BILLINGTON CHAPMAN SALMON LINTON-1.  1: FILTZ OV; SG ARROWSMITH; GEMINIANI CNgr; SG BARTHELEMON~m; PAXTON GL 'SLOW_SWEET'; PURCELL CT; BACH OV.  2: HAYDN OV; SG ARROWSMITH; DT HN HN LEANDER-lh LEANDER-vt; CN VN BARTHELEMON; SG BARTHELEMON~m (NEW); WEBBE GL 'COME_LIVE'; CT 'THE_ECHO'.,MC; MC 22 Jan,,,1787-01-23 21:00:00
2927,2928,FMH,LACY R&M 87,RM,For six: 1gn (single 5s etc),DIR BILLINGTON <DIR BAND>. GARRICK'S ODE_to_SHAKESPEARE [arne-ta o ^ode_to_shakespeare^]. QNT 5v 'THE_CLOUD-CAPT' + ORG TPT TPT DRS.,MC 22 Jan,,Second subscription of Lacy's Readings and Music [first night].,1787-01-26 19:00:00
